<S/No>,<RequestNumber>,<Requestor ID>,<Requestor First Name>,<Requestor Last Name>,<Requester Mobile Phone #>,<Requestor Desk Phone #>,<RequestorEmail>,<Pick-up Address 1>,<Pick-up Address 2>,<Pick-up Address City>,<Pick-up Address Province>,<Pick-up Address Postal>,<Pick-up Address Country>,<Pick-up Latitue>,<Pick-up Longitute>,<Recipient First Name>,<Recipient Last Name>,<Recipient Mobile Phone #>,<Recipient Desk Phone #>,<Recipient Email>,<Send-to Address 1>,<Send-to Address 2>,<Send-to Address City>,<Send-to Address Province>,<Send-to Address Postal>,<Send-to Address Country>,<Send-to Latitue>,<Send-to Longitute>,<Remarks>
1,A0001,patrick,Patrick,Tan,+6598765432,+6565432109,Patrick.tan@yahoo.com,Blk 218 AngMo Kio Ave 1,,,,560218,Singapore,1.365194,103.841550,John,Ng,,+6567890123,john@gmail.com,Blk 521 BedokNorth Ave 1,,,,460521,Singapore,1.330357,103.927147,
2,A0002,Bbb,Tan,+6598765432,+6565432109,bbb.tan@yahoo.com,Blk 218 AngMo Kio Ave 2,,,,560218,Singapore,1.365194,103.841550,John,Ng,,+6567890123,john@gmail.com,Blk 521 BedokNorth Ave 1,,,,460521,Singapore,1.330357,103.927147,
3,A0003,ccc,Ccc,Tan,+6598765432,+6565432109,ccc.tan@yahoo.com,Blk 218 AngMo Kio Ave 3,,,,560218,Singapore,1.365194,103.841550,John,Ng,,+6567890123,john@gmail.com,Blk 521 BedokNorth Ave 1,,,,460521,Singapore,1.330357,103.927147,
4,A0004,ddd,Ddd,Tan,+6598765432,+6565432109,ddd.tan@yahoo.com,Blk 218 AngMo Kio Ave 4,,,,560218,Singapore,1.365194,103.841550,John,Ng,,+6567890123,john@gmail.com,Blk 521 BedokNorth Ave 1,,,,460521,Singapore,1.330357,103.927147,
5,A0005,eee,Eee,Tan,+6598765432,+6565432109,eee.tan@yahoo.com,Blk 218 AngMo Kio Ave 5,,,,560218,Singapore,1.365194,103.841550,John,Ng,,+6567890123,john@gmail.com,Blk 521 BedokNorth Ave 1,,,,460521,Singapore,1.330357,103.927147,
6,A0006,fff,Fff,Tan,+6598765432,+6565432109,fff.tan@yahoo.com,Blk 218 AngMo Kio Ave 6,,,,560218,Singapore,1.365194,103.841550,John,Ng,,+6567890123,john@gmail.com,Blk 521 BedokNorth Ave 1,,,,460521,Singapore,1.330357,103.927147,
7,A0007,ggg,Ggg,Tan,+6598765432,+6565432109,ggg.tan@yahoo.com,Blk 218 AngMo Kio Ave 7,,,,560218,Singapore,1.365194,103.841550,John,Ng,,+6567890123,john@gmail.com,Blk 521 BedokNorth Ave 1,,,,460521,Singapore,1.330357,103.927147,
8,A0008,hhh,Hhh,Tan,+6598765432,+6565432109,hhh.tan@yahoo.com,Blk 218 AngMo Kio Ave 8,,,,560218,Singapore,1.365194,103.841550,John,Ng,,+6567890123,john@gmail.com,Blk 521 BedokNorth Ave 1,,,,460521,Singapore,1.330357,103.927147,
9,A0009,iii,Iii,Tan,+6598765432,+6565432109,iii.tan@yahoo.com,Blk 218 AngMo Kio Ave 9,,,,560218,Singapore,1.365194,103.841550,John,Ng,,+6567890123,john@gmail.com,Blk 521 BedokNorth Ave 1,,,,460521,Singapore,1.330357,103.927147,
10,A0010,jjj,Jjj,Tan,+6598765432,+6565432109,jjj.tan@yahoo.com,Blk 218 AngMo Kio Ave 10,,,,560218,Singapore,1.365194,103.841550,John,Ng,,+6567890123,john@gmail.com,Blk 521 BedokNorth Ave 1,,,,460521,Singapore,1.330357,103.927147,
11,A0011,kkk,Kkk,Tan,+6598765432,+6565432109,kkk.tan@yahoo.com,Blk 218 AngMo Kio Ave 11,,,,560218,Singapore,1.365194,103.841550,John,Ng,,+6567890123,john@gmail.com,Blk 521 BedokNorth Ave 1,,,,460521,Singapore,1.330357,103.927147,
12,A0012,lll,Lll,Tan,+6598765432,+6565432109,lll.tan@yahoo.com,Blk 218 AngMo Kio Ave 12,,,,560218,Singapore,1.365194,103.841550,John,Ng,,+6567890123,john@gmail.com,Blk 521 BedokNorth Ave 1,,,,460521,Singapore,1.330357,103.927147,
13,A0013,mmm,Mmm,Tan,+6598765432,+6565432109,mmm.tan@yahoo.com,Blk 218 AngMo Kio Ave 13,,,,560218,Singapore,1.365194,103.841550,John,Ng,,+6567890123,john@gmail.com,Blk 521 BedokNorth Ave 1,,,,460521,Singapore,1.330357,103.927147,
14,A0014,nnn,Nnn,Tan,+6598765432,+6565432109,nnn.tan@yahoo.com,Blk 218 AngMo Kio Ave 14,,,,560218,Singapore,1.365194,103.841550,John,Ng,,+6567890123,john@gmail.com,Blk 521 BedokNorth Ave 1,,,,460521,Singapore,1.330357,103.927147,
"EOF",3
